Event Category, Event Name, Team Name, Participants, Start Time, End Time, Performance Time
music,Folk Instrument (Solo),YF-1, ,14 Oct - 11:21:24 AM, 14 Oct - 11:21:29 AM,00:04
music,Folk Instrument (Solo),YF-1, ,14 Oct - 11:21:32 AM, 14 Oct - 11:27:39 AM,06:06
music,Folk Instrument (Solo),YF-2, ,14 Oct - 11:29:47 AM, 14 Oct - 11:37:04 AM,07:16
music,Classical Inst. (Percussion),YF-1, ,14 Oct - 11:42:21 AM, 14 Oct - 11:50:50 AM,08:29
music,Classical Inst. (Percussion),YF-2, ,14 Oct - 11:53:13 AM, 14 Oct - 12:02:13 PM,09:00
music,Classical Inst. (Non-Per),YF-2, ,14 Oct - 12:08:54 PM, 14 Oct - 12:17:49 PM,08:54
music,Classical Inst. (Non-Per),YF-1, ,14 Oct - 12:21:48 PM, 14 Oct - 12:31:12 PM,09:24
music,Classical Vocal (Solo),YF-1, ,14 Oct - 12:36:57 PM, 14 Oct - 12:45:27 PM,08:29
music,Light Vocal Indian,YF-1, ,14 Oct - 12:50:30 PM, 14 Oct - 12:55:21 PM,04:51
music,Light Vocal Indian,YF-2, ,14 Oct - 12:59:01 PM, 14 Oct - 1:04:03 PM,05:01
music,Light Vocal Indian,YF-3, ,14 Oct - 1:06:51 PM, 14 Oct - 1:11:36 PM,04:44
music,Light Vocal Indian,YF-4, ,14 Oct - 1:15:02 PM, 14 Oct - 1:18:24 PM,03:22
music,Light Vocal Indian,YF-5, ,14 Oct - 1:21:15 PM, 14 Oct - 1:25:56 PM,04:41
music,Light Vocal Indian,YF-6, ,14 Oct - 1:28:39 PM, 14 Oct - 1:33:42 PM,05:02
music,Light Vocal Indian,YF-7, ,14 Oct - 1:35:59 PM, 14 Oct - 1:41:03 PM,05:04
music,Western Vocal Solo,YF-1, ,14 Oct - 3:07:20 PM, 14 Oct - 3:11:44 PM,04:23
music,Western Vocal Solo,YF-2, ,14 Oct - 3:14:06 PM, 14 Oct - 3:18:56 PM,04:50
music,Western Vocal Solo,YF-3, ,14 Oct - 3:21:00 PM, 14 Oct - 3:26:16 PM,05:15
music,Western Vocal Solo,YF-4, ,14 Oct - 3:29:04 PM, 14 Oct - 3:33:58 PM,04:54
music,Western Vocal Solo,YF-5, ,14 Oct - 3:37:17 PM, 14 Oct - 3:41:48 PM,04:30
music,Western Vocal Solo,YF-6, ,14 Oct - 3:44:42 PM, 14 Oct - 3:49:11 PM,04:29
music,Western Vocal Solo,YF-7, ,14 Oct - 3:51:03 PM, 14 Oct - 3:55:11 PM,04:07
music,Western Group Song,YF-1, ,14 Oct - 3:59:13 PM, 14 Oct - 4:07:21 PM,08:08
music,Western Group Song,YF-2, ,14 Oct - 4:10:57 PM, 14 Oct - 4:19:54 PM,08:57
literary,Poem Recitation,YF-4, ,14 Oct - 4:31:01 PM, 14 Oct - 4:35:31 PM,04:29
literary,Poem Recitation,YF-1, ,14 Oct - 4:36:18 PM, 14 Oct - 4:40:25 PM,04:07
literary,Poem Recitation,YF-2, ,14 Oct - 4:41:07 PM, 14 Oct - 4:44:21 PM,03:13
literary,Poem Recitation,YF-3, ,14 Oct - 4:45:04 PM, 14 Oct - 4:49:11 PM,04:07
literary,Poem Recitation,YF-5, ,14 Oct - 4:49:47 PM, 14 Oct - 4:53:30 PM,03:42
literary,Poem Recitation,YF-6, ,14 Oct - 4:54:10 PM, 14 Oct - 4:57:15 PM,03:05
literary,Poem Recitation,YF-7, ,14 Oct - 4:57:55 PM, 14 Oct - 5:02:42 PM,04:47
