Event Category, Event Name, Team Name, Participants, Start Time, End Time, Performance Time
music,Classical Inst. (Percussion),YF-1, ,2 Oct - 8:17:23 PM, 2 Oct - 8:17:25 PM,00:02
music,Classical Inst. (Percussion),YF-1, ,2 Oct - 8:17:38 PM, 2 Oct - 8:19:53 PM,02:14
music,Classical Inst. (Percussion),YF-1, ,3 Oct - 12:48:03 PM, 3 Oct - 12:48:08 PM,00:04
music,Classical Inst. (Percussion),YF-1, ,3 Oct - 12:48:29 PM, 3 Oct - 12:50:36 PM,02:06
music,Classical Inst. (Percussion),YF-1, ,4 Oct - 3:09:26 PM, 4 Oct - 3:09:35 PM,00:09
music,Classical Inst. (Percussion),YF-1, ,6 Oct - 12:07:19 PM, 6 Oct - 12:07:27 PM,00:08
music,Classical Inst. (Percussion),YF-1, ,6 Oct - 12:08:53 PM, 6 Oct - 12:08:56 PM,00:02
music,Classical Inst. (Percussion),YF-1, ,6 Oct - 12:09:55 PM, 6 Oct - 12:09:57 PM,00:02
music,Classical Inst. (Percussion),YF-1, ,6 Oct - 12:10:25 PM, 6 Oct - 12:10:27 PM,00:01
music,Classical Inst. (Percussion),YF-1, ,6 Oct - 12:12:28 PM, 6 Oct - 12:12:30 PM,00:02
music,Classical Inst. (Percussion),YF-1, ,6 Oct - 12:12:57 PM, 6 Oct - 12:12:59 PM,00:02
music,Classical Inst. (Percussion),YF-1, ,6 Oct - 12:13:57 PM, 6 Oct - 12:14:04 PM,00:06
music,Classical Inst. (Percussion),YF-1, ,6 Oct - 12:14:14 PM, 6 Oct - 12:16:18 PM,02:04
music,Classical Inst. (Percussion),YF-1, ,7 Oct - 10:13:38 PM, 7 Oct - 10:13:40 PM,00:01
music,Classical Inst. (Percussion),YF-1, ,7 Oct - 10:13:43 PM, 7 Oct - 10:13:44 PM,00:00
music,Classical Inst. (Percussion),YF-1, ,8 Oct - 8:12:33 AM, 8 Oct - 8:13:55 AM,01:21
music,Classical Inst. (Percussion),YF-1, ,8 Oct - 8:17:52 AM, 8 Oct - 8:18:05 AM,00:12
music,Classical Inst. (Percussion),YF-1, ,8 Oct - 8:18:08 AM, 8 Oct - 8:18:20 AM,00:12
music,Classical Inst. (Percussion),YF-1, ,8 Oct - 8:18:42 AM, 8 Oct - 8:18:50 AM,00:08
music,Classical Inst. (Percussion),YF-1, ,8 Oct - 8:19:27 AM, 8 Oct - 8:19:37 AM,00:10
music,Folk Instrument (Solo),YF-1, ,8 Oct - 11:49:58 AM, 8 Oct - 11:56:33 AM,06:32
music,Folk Instrument (Solo),YF-3, ,8 Oct - 11:59:40 AM, 8 Oct - 12:06:57 PM,07:14
music,Folk Instrument (Solo),YF-4, ,8 Oct - 12:09:14 PM, 8 Oct - 12:15:38 PM,06:22
music,Classical Inst. (Percussion),YF-1, ,8 Oct - 12:32:46 PM, 8 Oct - 12:32:51 PM,00:04
music,Classical Inst. (Percussion),YF-1, ,8 Oct - 12:33:10 PM, 8 Oct - 12:33:36 PM,00:25
music,Classical Inst. (Percussion),YF-1, ,8 Oct - 12:34:21 PM, 8 Oct - 12:34:24 PM,00:03
music,Classical Inst. (Percussion),YF-1, ,8 Oct - 12:37:55 PM, 8 Oct - 12:37:57 PM,00:02
music,Classical Inst. (Percussion),YF-1, ,8 Oct - 12:42:46 PM, 8 Oct - 12:42:51 PM,00:04
music,Classical Inst. (Percussion),YF-1, ,8 Oct - 12:43:33 PM, 8 Oct - 12:43:45 PM,00:12
music,Classical Inst. (Percussion),YF-1, ,8 Oct - 12:49:28 PM, 8 Oct - 12:49:29 PM,00:01
music,Classical Inst. (Percussion),YF-1, ,8 Oct - 12:49:48 PM, 8 Oct - 12:51:53 PM,02:04
music,Classical Inst. (Percussion),YF-1, ,9 Oct - 9:03:18 AM, 9 Oct - 9:03:21 AM,00:03
music,Classical Inst. (Percussion),YF-1, ,9 Oct - 9:03:23 AM, 9 Oct - 9:03:24 AM,00:01
dance,Classical Dance,YF-1, ,9 Oct - 9:43:43 AM, 9 Oct - 9:43:44 AM,00:01
dance,Classical Dance,YF-1, ,9 Oct - 9:47:56 AM, 9 Oct - 9:47:57 AM,00:01
dance,Classical Dance,YF-1, ,9 Oct - 10:00:44 AM, 9 Oct - 10:14:03 AM,13:15
dance,Classical Dance,YF-3, ,9 Oct - 10:16:46 AM, 9 Oct - 10:20:31 AM,03:44
dance,Classical Dance,YF-4, ,9 Oct - 10:26:01 AM, 9 Oct - 10:39:07 AM,13:01
dance,Classical Dance,YF-5, ,9 Oct - 10:41:19 AM, 9 Oct - 10:41:21 AM,00:01
dance,Classical Dance,YF-5, ,9 Oct - 10:42:38 AM, 9 Oct - 10:55:38 AM,12:56
music,Group Shabad/Bhajan,YF-1, ,9 Oct - 11:09:17 AM, 9 Oct - 11:14:24 AM,05:05
music,Group Shabad/Bhajan,YF-2, ,9 Oct - 11:18:23 AM, 9 Oct - 11:26:35 AM,08:09
music,Group Shabad/Bhajan,YF-3, ,9 Oct - 11:30:46 AM, 9 Oct - 11:38:14 AM,07:24
music,Group Shabad/Bhajan,YF-4, ,9 Oct - 11:41:25 AM, 9 Oct - 11:49:21 AM,07:53
music,Group Shabad/Bhajan,YF-5, ,9 Oct - 11:50:55 AM, 9 Oct - 11:56:49 AM,05:51
music,Group Shabad/Bhajan,YF-7, ,9 Oct - 12:01:57 PM, 9 Oct - 12:09:16 PM,07:17
music,Group Shabad/Bhajan,YF-8, ,9 Oct - 12:14:15 PM, 9 Oct - 12:21:02 PM,06:44
music,Group Shabad/Bhajan,YF-6, ,9 Oct - 12:24:48 PM, 9 Oct - 12:32:21 PM,07:30
music,Group Song Indian,YF-1, ,9 Oct - 12:40:12 PM, 9 Oct - 12:40:21 PM,00:08
music,Group Song Indian,YF-1, ,9 Oct - 12:40:38 PM, 9 Oct - 12:48:19 PM,07:38
music,Group Song Indian,YF-2, ,9 Oct - 12:53:14 PM, 9 Oct - 1:02:08 PM,08:52
music,Group Song Indian,YF-3, ,9 Oct - 1:09:26 PM, 9 Oct - 1:18:24 PM,08:55
music,Group Song Indian,YF-4, ,9 Oct - 1:20:46 PM, 9 Oct - 1:20:47 PM,00:01
music,Group Song Indian,YF-4, ,9 Oct - 1:22:54 PM, 9 Oct - 1:31:19 PM,08:23
music,Group Song Indian,YF-5, ,9 Oct - 1:42:28 PM, 9 Oct - 1:43:09 PM,00:41
music,Group Song Indian,YF-5, ,9 Oct - 2:09:24 PM, 9 Oct - 2:18:34 PM,09:07
music,Vaar Singing,YF-2, ,9 Oct - 2:26:30 PM, 9 Oct - 2:29:49 PM,03:18
music,Vaar Singing,YF-2, ,9 Oct - 2:36:33 PM, 9 Oct - 2:42:06 PM,05:30
music,Vaar Singing,YF-4, ,9 Oct - 2:51:21 PM, 9 Oct - 2:51:25 PM,00:03
music,Vaar Singing,YF-4, ,9 Oct - 2:54:49 PM, 9 Oct - 3:00:34 PM,05:44
music,Vaar Singing,YF-1, ,9 Oct - 3:02:18 PM, 9 Oct - 3:07:50 PM,05:31
music,Vaar Singing,YF-3, ,9 Oct - 3:10:20 PM, 9 Oct - 3:14:13 PM,03:52
music,Folk Song (Punjabi),YF-1, ,9 Oct - 3:20:46 PM, 9 Oct - 3:22:54 PM,02:07
music,Folk Song (Punjabi),YF-2, ,9 Oct - 3:24:21 PM, 9 Oct - 3:28:29 PM,04:06
music,Folk Song (Punjabi),YF-3, ,9 Oct - 3:29:44 PM, 9 Oct - 3:33:46 PM,04:00
music,Folk Song (Punjabi),YF-4, ,9 Oct - 3:35:29 PM, 9 Oct - 3:39:17 PM,03:46
music,Folk Song (Punjabi),YF-5, ,9 Oct - 3:39:58 PM, 9 Oct - 3:44:27 PM,04:28
music,Folk Song (Punjabi),YF-6, ,9 Oct - 3:46:23 PM, 9 Oct - 3:50:51 PM,04:27
music,Folk Song (Punjabi),YF-7, ,9 Oct - 3:52:02 PM, 9 Oct - 3:57:08 PM,05:03
music,Folk Song (Punjabi),YF-9, ,9 Oct - 3:59:01 PM, 9 Oct - 4:04:44 PM,05:41
music,Folk Song (Punjabi),YF-10, ,9 Oct - 4:06:43 PM, 9 Oct - 4:11:31 PM,04:46
music,Folk Song (Punjabi),YF-11, ,9 Oct - 4:14:21 PM, 9 Oct - 4:19:08 PM,04:45
music,Folk Song (Punjabi),YF-12, ,9 Oct - 4:20:34 PM, 9 Oct - 4:25:01 PM,04:25
music,Folk Song (Punjabi),YF-13, ,9 Oct - 4:26:40 PM, 9 Oct - 4:31:14 PM,04:32
music,Folk Song (Punjabi),YF-14, ,9 Oct - 4:33:32 PM, 9 Oct - 4:38:23 PM,04:50
music,Folk Song (Punjabi),YF-15, ,9 Oct - 4:41:09 PM, 9 Oct - 4:45:57 PM,04:47
music,Folk Orchestra,YF-2, ,9 Oct - 5:39:28 PM, 9 Oct - 5:47:43 PM,08:13
music,Folk Orchestra,YF-1, ,9 Oct - 5:53:43 PM, 9 Oct - 6:02:16 PM,08:30
